Wavelength,Intensity,
506.68,2.73E-02,
506.89,2.74E-02,
507.1,2.75E-02,
507.32,2.76E-02,
507.53,2.77E-02,
507.74,2.78E-02,
507.95,2.79E-02,
508.16,2.80E-02,
508.37,2.81E-02,
508.59,2.82E-02,
508.8,2.83E-02,
509.01,2.85E-02,
509.22,2.86E-02,
509.43,2.87E-02,
509.64,2.87E-02,
509.86,2.89E-02,
510.07,2.90E-02,
510.28,2.91E-02,
510.49,2.92E-02,
510.7,2.94E-02,
510.91,2.95E-02,
511.13,2.97E-02,
511.34,2.98E-02,
511.55,2.99E-02,
511.76,3.00E-02,
511.97,3.01E-02,
512.18,3.03E-02,
512.39,3.04E-02,
512.61,3.05E-02,
512.82,3.05E-02,
513.03,3.06E-02,
513.24,3.07E-02,
513.45,3.08E-02,
513.66,3.09E-02,
513.87,3.10E-02,
514.09,3.11E-02,
514.3,3.12E-02,
514.51,3.13E-02,
514.72,3.14E-02,
514.93,3.15E-02,
515.14,3.16E-02,
515.35,3.17E-02,
515.56,3.19E-02,
515.78,3.20E-02,
515.99,3.21E-02,
516.2,3.23E-02,
516.41,3.24E-02,
516.62,3.26E-02,
516.83,3.27E-02,
517.04,3.28E-02,
517.25,3.29E-02,
517.46,3.30E-02,
517.68,3.32E-02,
517.89,3.33E-02,
518.1,3.34E-02,
518.31,3.36E-02,
518.52,3.37E-02,
518.73,3.39E-02,
518.94,3.40E-02,
519.15,3.42E-02,
519.36,3.43E-02,
519.58,3.44E-02,
519.79,3.45E-02,
520,3.46E-02,
520.21,3.47E-02,
520.42,3.48E-02,
520.63,3.49E-02,
520.84,3.50E-02,
521.05,3.52E-02,
521.26,3.53E-02,
521.47,3.55E-02,
521.68,3.56E-02,
521.89,3.58E-02,
522.11,3.59E-02,
522.32,3.61E-02,
522.53,3.62E-02,
522.74,3.64E-02,
522.95,3.65E-02,
523.16,3.65E-02,
523.37,3.66E-02,
523.58,3.67E-02,
523.79,3.68E-02,
524,3.69E-02,
524.21,3.71E-02,
524.42,3.72E-02,
524.63,3.73E-02,
524.84,3.75E-02,
525.05,3.76E-02,
525.27,3.78E-02,
525.48,3.79E-02,
525.69,3.80E-02,
525.9,3.81E-02,
526.11,3.83E-02,
526.32,3.84E-02,
526.53,3.85E-02,
526.74,3.87E-02,
526.95,3.88E-02,
527.16,3.89E-02,
527.37,3.90E-02,
527.58,3.92E-02,
527.79,3.93E-02,
528,3.94E-02,
528.21,3.95E-02,
528.42,3.96E-02,
528.63,3.98E-02,
528.84,3.99E-02,
529.05,4.00E-02,
529.26,4.01E-02,
529.47,4.02E-02,
529.68,4.04E-02,
529.89,4.06E-02,
530.1,4.07E-02,
530.31,4.08E-02,
530.52,4.09E-02,
530.73,4.10E-02,
530.94,4.12E-02,
531.16,4.13E-02,
531.37,4.15E-02,
531.58,4.16E-02,
531.79,4.17E-02,
532,4.18E-02,
532.21,4.20E-02,
532.42,4.21E-02,
532.63,4.22E-02,
532.84,4.24E-02,
533.05,4.25E-02,
533.26,4.26E-02,
533.47,4.27E-02,
533.68,4.29E-02,
533.89,4.31E-02,
534.1,4.32E-02,
534.31,4.34E-02,
534.52,4.35E-02,
534.73,4.37E-02,
534.94,4.38E-02,
535.15,4.39E-02,
535.36,4.41E-02,
535.57,4.42E-02,
535.77,4.44E-02,
535.98,4.46E-02,
536.19,4.47E-02,
536.4,4.48E-02,
536.61,4.49E-02,
536.82,4.50E-02,
537.03,4.52E-02,
537.24,4.53E-02,
537.45,4.55E-02,
537.66,4.57E-02,
537.87,4.58E-02,
538.08,4.59E-02,
538.29,4.60E-02,
538.5,4.62E-02,
538.71,4.63E-02,
538.92,4.64E-02,
539.13,4.66E-02,
539.34,4.67E-02,
539.55,4.67E-02,
539.76,4.68E-02,
539.97,4.69E-02,
540.18,4.70E-02,
540.39,4.71E-02,
540.6,4.73E-02,
540.81,4.76E-02,
541.02,4.77E-02,
541.23,4.80E-02,
541.44,4.81E-02,
541.64,4.84E-02,
541.85,4.87E-02,
542.06,4.90E-02,
542.27,4.92E-02,
542.48,4.93E-02,
542.69,4.95E-02,
542.9,4.96E-02,
543.11,4.97E-02,
543.32,4.99E-02,
543.53,5.01E-02,
543.74,5.03E-02,
543.95,5.04E-02,
544.16,5.04E-02,
544.37,5.04E-02,
544.58,5.03E-02,
544.78,5.03E-02,
544.99,5.05E-02,
545.2,5.07E-02,
545.41,5.10E-02,
545.62,5.13E-02,
545.83,5.17E-02,
546.04,5.20E-02,
546.25,5.23E-02,
546.46,5.25E-02,
546.67,5.27E-02,
546.88,5.28E-02,
547.08,5.29E-02,
547.29,5.30E-02,
547.5,5.32E-02,
547.71,5.33E-02,
547.92,5.35E-02,
548.13,5.36E-02,
548.34,5.37E-02,
548.55,5.39E-02,
548.76,5.40E-02,
548.97,5.43E-02,
549.17,5.45E-02,
549.38,5.47E-02,
549.59,5.48E-02,
549.8,5.49E-02,
550.01,5.50E-02,
550.22,5.52E-02,
550.43,5.53E-02,
550.64,5.55E-02,
550.85,5.59E-02,
551.05,5.60E-02,
551.26,5.62E-02,
551.47,5.64E-02,
551.68,5.66E-02,
551.89,5.67E-02,
552.1,5.69E-02,
552.31,5.70E-02,
552.52,5.71E-02,
552.72,5.73E-02,
552.93,5.75E-02,
553.14,5.76E-02,
553.35,5.80E-02,
553.56,5.82E-02,
553.77,5.83E-02,
553.98,5.86E-02,
554.18,5.87E-02,
554.39,5.89E-02,
554.6,5.90E-02,
554.81,5.92E-02,
555.02,5.95E-02,
555.23,5.97E-02,
555.43,5.98E-02,
555.64,6.00E-02,
555.85,6.02E-02,
556.06,6.04E-02,
556.27,6.05E-02,
556.48,6.07E-02,
556.69,6.07E-02,
556.89,6.10E-02,
557.1,6.11E-02,
557.31,6.13E-02,
557.52,6.15E-02,
557.73,6.16E-02,
557.94,6.19E-02,
558.14,6.21E-02,
558.35,6.23E-02,
558.56,6.25E-02,
558.77,6.27E-02,
558.98,6.27E-02,
559.19,6.29E-02,
559.39,6.31E-02,
559.6,6.33E-02,
559.81,6.34E-02,
560.02,6.37E-02,
560.23,6.39E-02,
560.43,6.40E-02,
560.64,6.42E-02,
560.85,6.45E-02,
561.06,6.46E-02,
561.27,6.48E-02,
561.47,6.51E-02,
561.68,6.53E-02,
561.89,6.56E-02,
562.1,6.58E-02,
562.31,6.59E-02,
562.51,6.61E-02,
562.72,6.62E-02,
562.93,6.64E-02,
563.14,6.65E-02,
563.35,6.67E-02,
563.55,6.68E-02,
563.76,6.69E-02,
563.97,6.72E-02,
564.18,6.73E-02,
564.39,6.76E-02,
564.59,6.79E-02,
564.8,6.82E-02,
565.01,6.84E-02,
565.22,6.87E-02,
565.42,6.89E-02,
565.63,6.90E-02,
565.84,6.92E-02,
566.05,6.94E-02,
566.26,6.96E-02,
566.46,6.97E-02,
566.67,6.98E-02,
566.88,6.99E-02,
567.09,7.02E-02,
567.29,7.03E-02,
567.5,7.06E-02,
567.71,7.07E-02,
567.92,7.10E-02,
568.12,7.12E-02,
568.33,7.15E-02,
568.54,7.16E-02,
568.75,7.19E-02,
568.95,7.21E-02,
569.16,7.23E-02,
569.37,7.26E-02,
569.58,7.28E-02,
569.78,7.29E-02,
569.99,7.32E-02,
570.2,7.32E-02,
570.41,7.32E-02,
570.61,7.34E-02,
570.82,7.37E-02,
571.03,7.38E-02,
571.24,7.40E-02,
571.44,7.42E-02,
571.65,7.42E-02,
571.86,7.43E-02,
572.07,7.44E-02,
572.27,7.47E-02,
572.48,7.48E-02,
572.69,7.50E-02,
572.9,7.52E-02,
573.1,7.54E-02,
573.31,7.57E-02,
573.52,7.59E-02,
573.72,7.62E-02,
573.93,7.65E-02,
574.14,7.66E-02,
574.35,7.68E-02,
574.55,7.70E-02,
574.76,7.73E-02,
574.97,7.75E-02,
575.17,7.76E-02,
575.38,7.80E-02,
575.59,7.80E-02,
575.8,7.82E-02,
576,7.84E-02,
576.21,7.85E-02,
576.42,7.86E-02,
576.62,7.88E-02,
576.83,7.90E-02,
577.04,7.93E-02,
577.24,7.96E-02,
577.45,7.99E-02,
577.66,8.02E-02,
577.86,8.04E-02,
578.07,8.06E-02,
578.28,8.06E-02,
578.49,8.09E-02,
578.69,8.09E-02,
578.9,8.12E-02,
579.11,8.13E-02,
579.31,8.15E-02,
579.52,8.17E-02,
579.73,8.21E-02,
579.93,8.22E-02,
580.14,8.23E-02,
580.35,8.26E-02,
580.55,8.29E-02,
580.76,8.30E-02,
580.97,8.32E-02,
581.17,8.34E-02,
581.38,8.36E-02,
581.59,8.37E-02,
581.79,8.39E-02,
582,8.40E-02,
582.21,8.42E-02,
582.41,8.42E-02,
582.62,8.43E-02,
582.83,8.46E-02,
583.03,8.48E-02,
583.24,8.49E-02,
583.45,8.53E-02,
583.65,8.55E-02,
583.86,8.56E-02,
584.07,8.57E-02,
584.27,8.59E-02,
584.48,8.62E-02,
584.68,8.64E-02,
584.89,8.67E-02,
585.1,8.67E-02,
585.3,8.71E-02,
585.51,8.73E-02,
585.72,8.76E-02,
585.92,8.78E-02,
586.13,8.80E-02,
586.34,8.81E-02,
586.54,8.83E-02,
586.75,8.81E-02,
586.95,8.83E-02,
587.16,8.87E-02,
587.37,8.89E-02,
587.57,8.91E-02,
587.78,8.96E-02,
587.99,8.97E-02,
588.19,8.99E-02,
588.4,9.01E-02,
588.6,9.02E-02,
588.81,9.04E-02,
589.02,9.05E-02,
589.22,9.06E-02,
589.43,9.08E-02,
589.63,9.11E-02,
589.84,9.14E-02,
590.05,9.16E-02,
590.25,9.20E-02,
590.46,9.21E-02,
590.66,9.22E-02,
590.87,9.25E-02,
591.08,9.27E-02,
591.28,9.30E-02,
591.49,9.32E-02,
591.69,9.34E-02,
591.9,9.36E-02,
592.11,9.38E-02,
592.31,9.40E-02,
592.52,9.42E-02,
592.72,9.45E-02,
592.93,9.46E-02,
593.14,9.47E-02,
593.34,9.48E-02,
593.55,9.49E-02,
593.75,9.51E-02,
593.96,9.52E-02,
594.16,9.55E-02,
594.37,9.56E-02,
594.58,9.61E-02,
594.78,9.64E-02,
594.99,9.66E-02,
595.19,9.68E-02,
595.4,9.69E-02,
595.6,9.70E-02,
595.81,9.71E-02,
596.02,9.71E-02,
596.22,9.73E-02,
596.43,9.75E-02,
596.63,9.76E-02,
596.84,9.77E-02,
597.04,9.78E-02,
597.25,9.80E-02,
597.45,9.81E-02,
597.66,9.84E-02,
597.87,9.87E-02,
598.07,9.90E-02,
598.28,9.93E-02,
598.48,9.96E-02,
598.69,1.00E-01,
598.89,1.00E-01,
599.1,1.00E-01,
599.3,1.01E-01,
599.51,1.01E-01,
599.71,1.01E-01,
599.92,1.01E-01,
600.12,1.01E-01,
600.33,1.01E-01,
600.54,1.02E-01,
600.74,1.02E-01,
600.95,1.02E-01,
601.15,1.02E-01,
601.36,1.03E-01,
601.56,1.03E-01,
601.77,1.03E-01,
601.97,1.03E-01,
602.18,1.03E-01,
602.38,1.03E-01,
602.59,1.04E-01,
602.79,1.04E-01,
603,1.04E-01,
603.2,1.04E-01,
603.41,1.05E-01,
603.61,1.05E-01,
603.82,1.05E-01,
604.02,1.05E-01,
604.23,1.05E-01,
604.43,1.05E-01,
604.64,1.06E-01,
604.84,1.06E-01,
605.05,1.06E-01,
605.25,1.06E-01,
605.46,1.07E-01,
605.66,1.07E-01,
605.87,1.07E-01,
606.07,1.07E-01,
606.28,1.07E-01,
606.48,1.07E-01,
606.69,1.07E-01,
606.89,1.08E-01,
607.1,1.08E-01,
607.3,1.09E-01,
607.51,1.09E-01,
607.71,1.09E-01,
607.92,1.09E-01,
608.12,1.10E-01,
608.33,1.10E-01,
608.53,1.10E-01,
608.74,1.10E-01,
608.94,1.10E-01,
609.14,1.11E-01,
609.35,1.11E-01,
609.55,1.10E-01,
609.76,1.10E-01,
609.96,1.10E-01,
610.17,1.10E-01,
