    main_id    |        ra        |         dec         |     sp_type     |  B  |  V
"* I Car"      |156.0987730314175 |-74.0316110835011    |"F3V"            |4.36 |4.01
"* zet Tuc"    |5.017744306231667 |-64.87479366391888   |"F9.5V"          |4.8  |4.23
"* eta Cru"    |181.72040893237084|-64.61373070048556   |"F2V"            |4.47 |4.136
"* gam Tuc"    |349.35731852264   |-58.23570137616001   |"F4V"            |4.37 |3.98
"HD 114837"    |198.56310307495997|-59.10323722999001   |"F6VFe-0.4"      |5.41 |4.93
"* gam Pav"    |321.61085409436373|-65.3661980715336    |"F9VFe-1.4CH-0.7"|4.7  |4.22
"* zet TrA"    |247.11725943877   |-70.08439580831      |"F9V"            |5.446|4.899
"* del Ind"    |329.47947306208334|-54.99257611805555   |"F0IV"           |4.68 |4.4
"* bet TrA"    |238.785675265     |-63.43072653638888   |"F1V"            |3.14 |2.85
"* phi01 Pav"  |308.89520861537994|-60.58174912319      |"F0V"            |5.036|4.745
"* rho Pav"    |309.39713532375794|-61.529921140199725  |"Fm_dD"          |5.29 |4.849
"* ups02 Cen"  |210.43127903188   |-45.60340960604      |"F7II/III"       |4.92 |4.33
"HD 125442"    |215.17742367133   |-45.18705767494      |"F0IV"           |5.08 |4.77
"* tau02 Lup"  |216.54505741968393|-45.379278405963014  |"F7"             |4.76 |4.35
"* g Lup"      |235.29740336214545|-44.66120602675139   |"F4V"            |5.036|4.633
"* lam Ara"    |265.09927324399   |-49.41558312680999   |"F4V"            |5.17 |4.77
"* bet02 Sgr"  |290.80473985061576|-44.79977880009028   |"F2/3V"          |4.601|4.27
"* kap Tuc"    |18.94203792959625 |-68.8759448102925    |"F6V"            |5.39 |4.95
"* alf For"    |48.018874183263755|-28.987621986758608  |"F6V"            |4.51 |3.98
"* ksi Sco"    |241.09222739999996|-11.3731039          |"F7V"            |4.64 |4.17
"* del Ser A"  |233.70060521505997|10.53885562508       |"F0IV"           |4.39 |4.14
