   main_id   |        ra         |        dec        |     sp_type     |  B  |  V
"* del Ret"  |59.68645392653709  |-61.40018563363832 |"M1.5III"        |6.19 |4.57
"* gam Ret"  |60.22419834909208  |-62.15928285026389 |"M4III"          |6.12 |4.5
"* psi Phe"  |28.411413800361665 |-46.3026692717061  |"M4III"          |6.0  |4.41
"* gam Phe"  |22.091369520270838 |-43.31823473917167 |"M0III"          |4.99 |3.42
"* gam Hyi"  |56.80975276363666  |-74.2389628753575  |"M1III"          |4.88 |3.26
"* eps Mus"  |184.39281518409328 |-67.96073681176279 |"M4III"          |5.6  |4.02
"* gam Cru"  |187.79149837560794 |-57.11321345705891 |"M3.5III"        |3.23 |1.64
"* del01 Aps"|245.08667298220666 |-78.69574842204916 |"M4III"          |6.37 |4.68
"* nu. Tuc"  |338.2502571342492  |-61.98212181838499 |"M4III"          |6.42 |4.81
"* bet Gru"  |340.66687612556166 |-46.884576444824646|"M4.5III"        |3.73 |2.11
"* del02 Gru"|337.4393047889025  |-43.749218877369444|"M4.5IIIa"       |5.68 |4.11
