    main_id    |        ra         |        dec        |       sp_type        |  B  |  V
"HD  40657"    |90.01395680808     |-3.0742584713800003|"K1.5III-IIIbCN-1"    |5.74 |4.52
"HD  44131"    |94.99831543806751  |-2.944493558354723 |"K5III"               |6.5  |4.899
"* gam Mon"    |93.71388839009543  |-6.274776778696667 |"K1III:"              |5.27 |3.96
"* psi02 Aur"  |99.83261348225001  |42.488876576299994 |"K2-III"              |6.05 |4.82
"*  30 Gem"    |100.99702978194    |13.22799990159     |"K0+IIICa1"           |5.65 |4.49
"HD  47667"    |99.81966430456     |-14.145761875750003|"K2+IIIaCN0.5Ca1"     |6.289|4.812
"* nu.03 CMa"  |99.47258909203     |-18.23748068501    |"K1-III"              |5.6  |4.43
"* nu.02 CMa"  |99.17099032848041  |-19.25588040351555 |"K1.5III-IVFe1"       |5.011|3.91
"* psi07 Aur"  |102.69143033957    |41.781230547750006 |"K3III"               |6.244|4.975
"*  17 Mon"    |101.83262571187001 |8.037256352840002  |"K4III"               |6.17 |4.77
"*  18 Mon"    |101.96519952348    |2.41217639198      |"K0+III"              |5.58 |4.47
"* tet CMa"    |103.54749525536    |-12.038628101049998|"K3/4III"             |5.51 |4.08
"* omi01 CMa"  |103.53313445883    |-24.18421097264    |"K2Iab"               |5.6  |3.87
"HD  50235"    |102.71813176625    |-34.3673183535     |"K2/3III"             |6.37 |4.989
"* sig CMa"    |105.42978350186792 |-27.934830340443888|"K5Ib"                |5.2  |3.47
"*  63 Aur"    |107.91386052498    |39.32055033848     |"K4III"               |6.353|4.886
"* tau Gem"    |107.78487630737042 |30.24516376985388  |"K2III"               |5.68 |4.42
"*  20 Mon"    |107.55700626103001 |-4.237106959790001 |"K0III"               |5.95 |4.92
"* 145 CMa"    |109.15347732104    |-23.315593963849995|"K3Ib-"               |6.5  |4.79
"* pi. Pup"    |109.28565325467379 |-37.09747115430162 |"K4III"               |4.32 |2.7
"*   6 CMi"    |112.44908972974333 |12.006563320020556 |"K1III"               |5.812|4.531
"* gam CMi"    |112.04080952897002 |8.925524480059998  |"K3-IIIFe-0.5"        |5.73 |4.3
"* 140 Pup"    |115.09671017844005 |-15.26391964179    |"K3III"               |6.503|4.951
"* sig Gem"    |115.82803204470962 |28.8835088440125   |"K1IIIe"              |5.41 |4.29
"* bet Gem"    |116.32895777437875 |28.02619889009357  |"K0IIIb"              |2.14 |1.14
"* g Gem"      |116.53103507765998 |18.5099981036      |"K4III"               |6.33 |4.87
"*   1 Pup"    |115.88494452232    |-28.41088574833    |"K5III"               |6.22 |4.59
"* c Pup"      |116.31373389138793 |-37.968585259939175|"K4III"               |5.34 |3.61
"* a Pup"      |118.05429938018001 |-40.57578173214    |"K1/2II+A"            |4.717|3.696
"* chi Gem"    |120.87958206382004 |27.794350812640005 |"K1-IIIb"             |6.075|4.937
"* G CMi"      |120.5664038383367  |2.334571901765     |"K2IIIbFe-0.5:"       |5.63 |4.38
"*  28 Mon"    |120.30556233273833 |-1.3926069037644446|"K4III"               |6.147|4.68
"*  27 Mon"    |119.93397109641002 |-3.679585669759999 |"K1III"               |6.137|4.934
"* h01 Pup"    |122.83955595925998 |-39.61854410984    |"K4.5Ib"              |6.03 |4.42
"* bet Cnc"    |124.12883745353416 |9.185543957090834  |"K4IIIBa0.5:"         |5.0  |3.52
"* w Pup"      |125.34594178783    |-33.05436507907    |"K2+IIIa"             |6.26 |4.8
"* del Cnc"    |131.17124658768913 |18.154308069054167 |"K0+IIIb"             |5.02 |3.94
"* sig Hya"    |129.68932270518832 |3.3414351882730555 |"K1III"               |5.63 |4.43
"* a Hya"      |130.00613100331    |-12.47537472912    |"K3III"               |6.397|4.969
"*   9 Hya"    |130.43056736143    |-15.943385354709998|"K0IIIb"              |5.918|4.866
"* gam Pyx"    |132.63301083315085 |-27.70984159252084 |"K2.5III"             |5.27 |4.01
"* lam Gru"    |331.52868672390497 |-39.543353005568605|"K3III"               |5.843|4.458
"* rho Gru"    |340.87490106366994 |-41.41434552536389 |"K0III"               |5.854|4.835
"* alf Phe"    |6.5710475153919266 |-42.305987194396046|"K0.5IIIb"            |3.47 |2.38
"* ups PsA"    |332.10804802652206 |-34.04384057504694 |"K4III"               |6.47 |4.99
"* gam Scl"    |349.7059899949562  |-32.5320219169586  |"K1III"               |5.528|4.406
"*  56 Cet"    |29.16751091884     |-22.5267846855     |"K3III"               |6.27 |4.85
"* tau02 Eri"  |42.759696298533754 |-21.00401153253444 |"K0III"               |5.67 |4.77
"* g Aqr"      |340.89680519415367 |-18.83037508142056 |"K3III"               |6.06 |4.69
"* c02 Aqr"    |347.36165018724955 |-21.172415205008054|"K1.5III"             |4.87 |3.64
