   main_id   |        ra        |        dec         |       sp_type        |  B  |  V
"* bet01 Sco"|241.3592999275    |-19.805452782777778 |"B1V"                 |2.55 |2.62
"* nu. Sco"  |242.99889864963222|-19.46070447846264  |"B2V"                 |4.05 |4.0
"* chi Oph"  |246.75598154079785|-18.456249989236664 |"B2Vne"               |4.71 |4.43
"* mu. Sgr"  |273.4408701670833 |-21.058831686944444 |"B8Iab(e)"            |4.07 |3.85
"* ups Sgr"  |290.4317608155338 |-15.955017423970556 |"B2Vp_sh"             |4.71 |4.61
"*  48 Lib"  |239.5473677093554 |-14.279355863636946 |"B5IIIp_sh"           |4.77 |4.87
"* nu. Cap"  |305.1658991456237 |-12.759080634501943 |"B9IV"                |4.72 |4.76
"* bet Lib"  |229.25172424914246|-9.382914410334685  |"B8Vn"                |2.51 |2.62
"* eps Aqr"  |311.9189565534167 |-9.495776926900833  |"B9.5V"               |3.77 |3.77
"* mu. Oph"  |264.4613048316225 |-8.118771748269722  |"B8II((Mn))"          |4.73 |4.62
"* kap Aql"  |294.22270369625915|-7.027479115692221  |"B0.5IIIn"            |4.93 |4.96
"* mu. Ser"  |237.40502901603867|-3.4302043802099975 |"B9.5III"             |3.49 |3.53
"* lam Aql"  |286.56224439258   |-4.88256274593      |"B8.5V"               |3.34 |3.43
"* iot Aql"  |294.18032376199994|-1.2865996151100005 |"B5III"               |4.28 |4.36
"* tet Aql"  |302.82619454879625|-0.8214635937475    |"B9.5III"             |3.15 |3.22
"*  66 Oph"  |270.06581543772376|4.368645090768055   |"B2Ve"                |4.58 |4.6
"*  67 Oph"  |270.16131578875   |2.93156483414       |"B4Ib-II"             |3.96 |3.93
"* iot Oph"  |253.50196471632205|10.165361384452224  |"B8V"                 |4.3  |4.38
"* eps Del"  |308.30322026626874|11.303266387445278  |"B6IV"                |3.9  |4.03
"* 102 Her"  |272.1895496947258 |20.81455682891472   |"B2IV"                |4.177|4.347
"* alf Del"  |309.90949848153707|15.912160008943609  |"B9IV"                |3.74 |3.8
"*   1 Vul"  |289.05432998546   |21.39042903203      |"B4IV"                |4.72 |4.77
"*  12 Vul"  |297.76711795234   |22.610048054990003  |"B2.5Ve"              |4.84 |4.96
"*  13 Vul"  |298.36539882994   |24.07961337185      |"B9.5III"             |4.57 |4.64
"* omi Her"  |271.8856296342288 |28.762491065638883  |"B9.5III"             |3.802|3.827
"HD 192685"  |303.81623356562915|25.591961911578053  |"B3V"                 |4.58 |4.75
"* u Her"    |259.33153256206   |33.10010232779      |"B2V"                 |4.63 |4.8
"* gam Lyr"  |284.73592734438125|32.68955574065722   |"B9.5II-III"          |3.2  |3.25
"*   2 Cyg"  |291.03157650551   |29.62133556921      |"B3/4+B6/9"           |4.851|4.977
"* bet Lyr"  |282.51997976764824|33.36266676977778   |"B8.5Ib-II"           |3.42 |3.42
